Node connection,Dependency percentage,Index,Time (s),,Index,Text,X value
B - D,30%,4,369.74,,,,
B - D,30%,4,57.12,,,,
B - D,30%,4,27.05,,,,
B - D,30%,4,56.10,,,,
B - D,30%,4,80.14,,,,
B - D,30%,4,27.05,,,,
B - D,30%,4,27.05,,,,
B - D,30%,4,30.06,,,,
B - D,30%,4,106.18,,,,
B - D,30%,4,30.07,,,,
B - D,30%,4,27.05,,,,
B - D,30%,4,33.07,,,,
B - D,30%,4,53.11,,,,
B - D,30%,4,53.09,,,,
B - D,30%,4,27.04,,,,
B - D,50%,5,54.11,,,,
B - D,50%,5,28.05,,,,
B - D,50%,5,27.05,,,,
B - D,50%,5,82.17,,,,
B - D,50%,5,53.10,,,,
B - D,50%,5,27.05,,,,
B - D,50%,5,27.05,,,,
B - D,50%,5,27.07,,,,
B - D,50%,5,30.08,,,,
B - D,50%,5,81.19,,,,
B - D,50%,5,53.12,,,,
B - D,50%,5,56.14,,,,
B - D,50%,5,27.06,,,,
B - D,50%,5,107.23,,,,
B - D,50%,5,81.16,,,,
B - D,50%,5,28.06,,,,
B - D,50%,5,55.10,,,,
B - D,50%,5,28.07,,,,
B - D,50%,5,132.27,,,,
B - D,50%,5,53.13,,,,
B - D,50%,5,79.17,,,,
B - D,50%,5,28.07,,,,
B - D,50%,5,58.12,,,,
B - D,50%,5,27.06,,,,
B - D,50%,5,27.04,,,,
B - D,50%,5,29.05,,,,
B - D,50%,5,28.04,,,,
B - D,50%,5,28.05,,,,
B - D,50%,5,55.12,,,,
B - D,50%,5,28.05,,,,
B - D,50%,5,28.06,,,,
B - D,50%,5,55.10,,,,
B - D,50%,5,80.15,,,,
B - D,50%,5,55.09,,,,
B - D,50%,5,54.14,,,,
B - D,50%,5,239.48,,,,
B - D,50%,5,33.06,,,,
B - D,50%,5,53.10,,,,
B - D,50%,5,79.17,,,,
B - D,50%,5,27.05,,,,
B - D,50%,5,30.06,,,,
B - D,50%,5,28.07,,,,
B - D,50%,5,28.05,,,,
B - D,50%,5,27.05,,,,
B - D,50%,5,30.07,,,,
B - D,50%,5,213.40,,,,
B - D,50%,5,107.21,,,,
B - D,50%,5,29.06,,,,
B - D,50%,5,27.06,,,,
B - D,50%,5,28.08,,,,
B - D,70%,6,109.22,,,,
B - D,70%,6,28.04,,,,
B - D,70%,6,53.10,,,,
B - D,70%,6,27.07,,,,
B - D,70%,6,54.12,,,,
B - D,70%,6,82.15,,,,
B - D,70%,6,132.29,,,,
B - D,70%,6,55.14,,,,
B - D,70%,6,81.18,,,,
B - D,70%,6,53.09,,,,
B - D,70%,6,28.06,,,,
B - D,70%,6,28.05,,,,
B - D,70%,6,184.36,,,,
B - D,70%,6,53.11,,,,
B - D,70%,6,53.11,,,,
B - D,70%,6,80.15,,,,
B - D,70%,6,28.04,,,,
B - D,70%,6,53.12,,,,
B - D,70%,6,53.10,,,,
B - D,70%,6,107.24,,,,
B - D,70%,6,106.20,,,,
B - D,70%,6,79.16,,,,
B - D,70%,6,30.06,,,,
B - D,70%,6,53.10,,,,
B - D,70%,6,27.04,,,,
B - D,70%,6,53.12,,,,
B - D,70%,6,29.06,,,,
B - D,70%,6,53.14,,,,
B - D,70%,6,106.22,,,,
B - D,70%,6,29.05,,,,
B - D,70%,6,28.06,,,,
B - D,70%,6,27.06,,,,
B - D,70%,6,82.19,,,,
B - D,70%,6,79.20,,,,
B - D,70%,6,28.07,,,,
B - D,70%,6,54.12,,,,
B - D,70%,6,53.11,,,,
B - D,70%,6,28.08,,,,
B - D,70%,6,28.05,,,,
B - D,70%,6,53.10,,,,
B - D,70%,6,27.05,,,,
B - D,70%,6,27.04,,,,
B - D,70%,6,27.06,,,,
B - D,70%,6,28.06,,,,
B - D,70%,6,54.13,,,,
B - D,70%,6,27.08,,,,
B - D,70%,6,27.07,,,,
B - D,70%,6,80.17,,,,
B - D,70%,6,27.07,,,,
B - D,70%,6,27.06,,,,
B - D,90%,6,28.07,,,,
